ModelId,IndexOrder,IndexValue
1,286,41
1,287,57
1,288,41
1,289,42
1,290,57
1,291,57
1,292,42
1,293,58
1,294,42
1,295,43
1,296,58
1,297,58
1,298,43
1,299,59
1,300,43
1,301,44
1,302,59
1,303,59
1,304,44
1,305,60
1,306,44
1,307,45
1,308,60
1,309,60
1,310,45
1,311,61
1,312,45
1,313,46
1,314,61
1,315,61
1,316,46
1,317,62
1,318,46
1,319,47
1,320,62
1,321,62
1,322,47
1,323,63
1,324,47
1,325,48
1,326,63
1,327,63
1,328,48
1,329,64
1,330,48
1,331,33
1,332,64
1,333,64
1,334,33
1,335,49
1,336,49
1,337,50
1,338,65
1,339,65
1,340,50
1,341,66
1,342,50
1,343,51
1,344,66
1,345,66
1,346,51
1,347,67
1,348,51
1,349,52
1,350,67
1,351,67
1,352,52
1,353,68
1,354,52
1,355,53
1,356,68
1,357,68
1,358,53
1,359,69
1,360,53
1,361,54
1,362,69
1,363,69
1,364,54
1,365,70
1,366,54
1,367,55
1,368,70
1,369,70
1,370,55
1,371,71
1,372,55
1,373,56
1,374,71
1,375,71
1,376,56
1,377,72
1,378,56
1,379,57
1,380,72
1,381,72
1,382,57
1,383,73
1,384,57
1,385,58
1,386,73
1,387,73
1,388,58
1,389,74
1,390,58
1,391,59
1,392,74
1,393,74
1,394,59
1,395,75
1,396,59
1,397,60
1,398,75
1,399,75
1,400,60
1,401,76
1,402,60
1,403,61
1,404,76
1,405,76
1,406,61
1,407,77
1,408,61
1,409,62
1,410,77
1,411,77
1,412,62
1,413,78
1,414,62
1,415,63
1,416,78
1,417,78
1,418,63
1,419,79
1,420,63
1,421,64
1,422,79
1,423,79
1,424,64
1,425,80
1,426,64
1,427,49
1,428,80
1,429,80
1,430,49
1,431,65
1,432,65
1,433,66
1,434,81
1,435,81
1,436,66
1,437,82
1,438,66
1,439,67
1,440,82
1,441,82
1,442,67
1,443,83
1,444,67
1,445,68
1,446,83
1,447,83
1,448,68
1,449,84
1,450,68
1,451,69
1,452,84
1,453,84
1,454,69
1,455,85
1,456,69
1,457,70
1,458,85
1,459,85
1,460,70
1,461,86
1,462,70
1,463,71
1,464,86
1,465,86
1,466,71
1,467,87
1,468,71
1,469,72
1,470,87
1,471,87
1,472,72
1,473,88
1,474,72
1,475,73
1,476,88
1,477,88
1,478,73
1,479,89
1,480,73
1,481,74
1,482,89
1,483,89
1,484,74
1,485,90
1,486,74
1,487,75
1,488,90
1,489,90
1,490,75
1,491,91
1,492,75
1,493,76
1,494,91
1,495,91
1,496,76
1,497,92
1,498,76
1,499,77
1,500,92
1,501,92
1,502,77
1,503,93
1,504,77
1,505,78
1,506,93
1,507,93
1,508,78
1,509,94
1,510,78
1,511,79
1,512,94
1,513,94
1,514,79
1,515,95
1,516,79
1,517,80
1,518,95
1,519,95
1,520,80
1,521,96
1,522,80
1,523,65
1,524,96
1,525,96
1,526,65
1,527,81
1,528,81
1,529,82
1,530,97
1,531,97
1,532,82
1,533,98
1,534,82
1,535,83
1,536,98
1,537,98
1,538,83
1,539,99
1,540,83
1,541,84
1,542,99
1,543,99
1,544,84
1,545,100
1,546,84
1,547,85
1,548,100
1,549,100
1,550,85
1,551,101
1,552,85
1,553,86
1,554,101
1,555,101
1,556,86
1,557,102
1,558,86
1,559,87
1,560,102
1,561,102
1,562,87
1,563,103
1,564,87
1,565,88
1,566,103
1,567,103
1,568,88
1,569,104
1,570,88
1,571,89
1,572,104
1,573,104
1,574,89
1,575,105
1,576,89
1,577,90
1,578,105
1,579,105
1,580,90
1,581,106
1,582,90
1,583,91
1,584,106
1,585,106
1,586,91
1,587,107
1,588,91
1,589,92
1,590,107
1,591,107
1,592,92
1,593,108
1,594,92
1,595,93
1,596,108
1,597,108
1,598,93
1,599,109
1,600,93
1,601,94
1,602,109
1,603,109
1,604,94
1,605,110
1,606,94
1,607,95
1,608,110
1,609,110
1,610,95
1,611,111
1,612,95
1,613,96
1,614,111
1,615,111
1,616,96
1,617,112
1,618,96
1,619,81
1,620,112
1,621,112
1,622,81
1,623,97
1,624,97
1,625,98
1,626,113
1,627,113
1,628,98
1,629,114
1,630,98
1,631,99
1,632,114
1,633,114
1,634,99
1,635,115
1,636,99
1,637,100
1,638,115
1,639,115
1,640,100
1,641,116
1,642,100
1,643,101
1,644,116
1,645,116
1,646,101
1,647,117
1,648,101
1,649,102
1,650,117
1,651,117
1,652,102
1,653,118
1,654,102
1,655,103
1,656,118
1,657,118
1,658,103
1,659,119
1,660,103
1,661,104
1,662,119
1,663,119
1,664,104
1,665,120
1,666,104
1,667,105
1,668,120
1,669,120
1,670,105
1,671,121
1,672,105
1,673,106
1,674,121
1,675,121
1,676,106
1,677,122
1,678,106
1,679,107
1,680,122
1,681,122
1,682,107
1,683,123
1,684,107
1,685,108
1,686,123
1,687,123
1,688,108
1,689,124
1,690,108
1,691,109
1,692,124
1,693,124
1,694,109
1,695,125
1,696,109
1,697,110
1,698,125
1,699,125
1,700,110
1,701,126
1,702,110
1,703,111
1,704,126
1,705,126
1,706,111
1,707,127
1,708,111
1,709,112
1,710,127
1,711,127
1,712,112
1,713,128
1,714,112
1,715,97
1,716,128
1,717,128
1,718,97
1,719,113
1,720,113
1,721,114
1,722,129
1,723,129
1,724,114
1,725,130
1,726,114
1,727,115
1,728,130
1,729,130
1,730,115
1,731,131
1,732,115
1,733,116
1,734,131
1,735,131
1,736,116
1,737,132
1,738,116
1,739,117
1,740,132
1,741,132
1,742,117
1,743,133
1,744,117
1,745,118
1,746,133
1,747,133
1,748,118
1,749,134
1,750,118
1,751,119
1,752,134
1,753,134
1,754,119
1,755,135
1,756,119
1,757,120
1,758,135
1,759,135
1,760,120
1,761,136
1,762,120
1,763,121
1,764,136
1,765,136
1,766,121
1,767,137
1,768,121
1,769,122
1,770,137
1,771,137
1,772,122
1,773,138
1,774,122
1,775,123
1,776,138
1,777,138
1,778,123
1,779,139
1,780,123
1,781,124
1,782,139
1,783,139
1,784,124
1,785,140
